# command: python3 c4min_hunt_run.py ../results/k4_certs_6_n4_1.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n6_1.ckpt
# commit bf2f6af, k4/c4min_hunt.c sha1 60fbc9be5f85, started Fri Sep 25 23:37:09 UTC 2026
core 266 m 6 profiles 2239488 fails 0 solved 10499 secs 0.1
core 267 m 6 profiles 2239488 fails 0 solved 8517 secs 0.1
core 268 m 6 profiles 2239488 fails 0 solved 8106 secs 0.1
core 269 m 6 profiles 2239488 fails 0 solved 8253 secs 0.1
core 270 m 6 profiles 2239488 fails 0 solved 12577 secs 0.1
core 271 m 6 profiles 2239488 fails 0 solved 7697 secs 0.0
core 272 m 6 profiles 2239488 fails 0 solved 12678 secs 0.1
core 273 m 6 profiles 2239488 fails 0 solved 12231 secs 0.1
core 274 m 6 profiles 2239488 fails 0 solved 5535 secs 0.0
core 275 m 6 profiles 2239488 fails 0 solved 14013 secs 0.1
core 276 m 6 profiles 2239488 fails 0 solved 5450 secs 0.0
core 277 m 6 profiles 2239488 fails 0 solved 14247 secs 0.1
core 278 m 6 profiles 2239488 fails 0 solved 6911 secs 0.0
core 279 m 6 profiles 2239488 fails 0 solved 9590 secs 0.1
core 280 m 6 profiles 2239488 fails 0 solved 7953 secs 0.1
core 281 m 6 profiles 2239488 fails 0 solved 7186 secs 0.0
core 282 m 6 profiles 2239488 fails 0 solved 14239 secs 0.1
core 283 m 6 profiles 2239488 fails 0 solved 6607 secs 0.0
core 284 m 6 profiles 2239488 fails 0 solved 12378 secs 0.1
core 285 m 6 profiles 2239488 fails 0 solved 6984 secs 0.0
core 286 m 6 profiles 2239488 fails 0 solved 12624 secs 0.1
core 287 m 6 profiles 2239488 fails 0 solved 13141 secs 0.1
core 288 m 6 profiles 2239488 fails 0 solved 9616 secs 0.1
core 289 m 6 profiles 2239488 fails 0 solved 8814 secs 0.1
core 290 m 6 profiles 2239488 fails 0 solved 8417 secs 0.1
core 291 m 6 profiles 2239488 fails 0 solved 11835 secs 0.1
core 292 m 6 profiles 2239488 fails 0 solved 8946 secs 0.1
core 293 m 6 profiles 2239488 fails 0 solved 11809 secs 0.1
core 294 m 6 profiles 2239488 fails 0 solved 7884 secs 0.1
core 295 m 6 profiles 2239488 fails 0 solved 14634 secs 0.1
core 296 m 6 profiles 2239488 fails 0 solved 16382 secs 0.1
core 297 m 6 profiles 2239488 fails 0 solved 9610 secs 0.0
core 298 m 6 profiles 2239488 fails 0 solved 13730 secs 0.1
core 299 m 6 profiles 2239488 fails 0 solved 14703 secs 0.1
core 300 m 6 profiles 2239488 fails 0 solved 14923 secs 0.1
core 301 m 6 profiles 2239488 fails 0 solved 7939 secs 0.0
core 302 m 6 profiles 2239488 fails 0 solved 14575 secs 0.1
core 303 m 6 profiles 2239488 fails 0 solved 12754 secs 0.1
core 304 m 6 profiles 2239488 fails 0 solved 8391 secs 0.0
core 305 m 6 profiles 2239488 fails 0 solved 13820 secs 0.1
core 306 m 6 profiles 2239488 fails 0 solved 12663 secs 0.1
core 307 m 6 profiles 2239488 fails 0 solved 17777 secs 0.1
core 308 m 6 profiles 2239488 fails 0 solved 11734 secs 0.0
core 309 m 6 profiles 2239488 fails 0 solved 11464 secs 0.0
core 310 m 6 profiles 2239488 fails 0 solved 14343 secs 0.1
core 311 m 6 profiles 2239488 fails 0 solved 16525 secs 0.1
core 312 m 6 profiles 2239488 fails 0 solved 14889 secs 0.1
core 313 m 6 profiles 2239488 fails 0 solved 16298 secs 0.1
core 314 m 6 profiles 2239488 fails 0 solved 15962 secs 0.1
core 315 m 6 profiles 2239488 fails 0 solved 9338 secs 0.0
core 316 m 6 profiles 2239488 fails 0 solved 13407 secs 0.1
core 317 m 6 profiles 2239488 fails 0 solved 15138 secs 0.1
core 318 m 6 profiles 2239488 fails 0 solved 13951 secs 0.1
core 319 m 6 profiles 2239488 fails 0 solved 13870 secs 0.1
core 320 m 6 profiles 2239488 fails 0 solved 15096 secs 0.1
core 321 m 6 profiles 2239488 fails 0 solved 8809 secs 0.0
core 322 m 6 profiles 2239488 fails 0 solved 13331 secs 0.1
core 323 m 6 profiles 2239488 fails 0 solved 9370 secs 0.0
core 324 m 6 profiles 2239488 fails 0 solved 8887 secs 0.0
core 325 m 6 profiles 2239488 fails 0 solved 12275 secs 0.1
core 326 m 6 profiles 2239488 fails 0 solved 13105 secs 0.1
