# pass 1: $ cd k4 && python3 mincex_cert.py ../results/k4_min_cex_shapes_4.json.gz OUT --jobs=3 --timeout=30   (search4.py scanner; stopped after 2,463 cores and resumed in pass 2)
5558 cores, 0 in the checkpoint, 5558 to run
n = 5, m = 11, kinds P4P4P4Q3P4, 41278242816 profiles: 191 allocations, 0 D2 failures, 18.7 s
n = 5, m = 10, kinds P4P4Q3Q4P3, 573308928 profiles: 72 allocations, 0 D2 failures, 0.9 s
n = 5, m = 10, kinds Q3P4P4Q4P3, 573308928 profiles: 72 allocations, 0 D2 failures, 0.8 s
n = 5, m = 10, kinds P4Q4P4P3Q3, 47775744 profiles: 32 allocations, 0 D2 failures, 0.6 s
n = 5, m = 10, kinds P4Q4Q3P3P4, 4976640 profiles: 17 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q3Q4P4P3P4, 4976640 profiles: 21 allocations, 0 D2 failures, 0.2 s
n = 5, m = 11, kinds P4Q4P4P3P4, 238878720 profiles: 47 allocations, 0 D2 failures, 0.5 s
n = 5, m = 10, kinds P4P4P4Q3Q3, 859963392 profiles: 103 allocations, 0 D2 failures, 1.1 s
n = 5, m = 10, kinds P4P4Q3Q3P4, 859963392 profiles: 93 allocations, 0 D2 failures, 1.1 s
n = 5, m = 10, kinds P4Q3P4P4Q3, 859963392 profiles: 86 allocations, 0 D2 failures, 1.1 s
n = 5, m = 10, kinds P4Q3P4Q3P4, 859963392 profiles: 113 allocations, 0 D2 failures, 1.4 s
n = 5, m = 10, kinds P4Q3Q3P4P4, 859963392 profiles: 101 allocations, 0 D2 failures, 1.5 s
n = 5, m = 10, kinds Q3Q3P4P4P4, 859963392 profiles: 131 allocations, 0 D2 failures, 1.6 s
n = 5, m = 11, kinds P4P4P4Q4P3, 27518828544 profiles: 151 allocations, 0 D2 failures, 15.1 s
n = 5, m = 12, kinds P4P4P4P4P4, 1981355655168 profiles: timeout (30 s)
n = 5, m = 11, kinds P4P4P4P4Q3, 41278242816 profiles: 196 allocations, 0 D2 failures, 21.8 s
n = 5, m = 11, kinds P4P4P4Q3P4, 41278242816 profiles: timeout (30 s)
n = 5, m = 10, kinds P4P4Q4Q3P3, 47775744 profiles: 21 allocations, 0 D2 failures, 0.6 s
n = 5, m = 10, kinds P4Q3Q4P4P3, 4976640 profiles: 18 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds Q3P4Q4P4P3, 4976640 profiles: 23 allocations, 0 D2 failures, 0.3 s
n = 5, m = 11, kinds P4P4Q4P4P3, 238878720 profiles: 40 allocations, 0 D2 failures, 0.6 s
n = 5, m = 10, kinds P3Q4Q4P4P3, 3317760 profiles: 20 allocations, 0 D2 failures, 0.5 s
