# command: python3 c4min_hunt_run.py ../results/k4_certs_5_n4_3.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n5_3.ckpt
# commit 4127f70, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:19:13 UTC 2026
core 337 m 6 profiles 859963392 fails 0 solved 102158 secs 2.5
core 338 m 7 profiles 429981696 fails 0 solved 58361 secs 1.8
core 339 m 7 profiles 429981696 fails 0 solved 55510 secs 1.2
core 340 m 7 profiles 429981696 fails 0 solved 58106 secs 1.2
core 341 m 7 profiles 429981696 fails 0 solved 47996 secs 1.5
core 342 m 7 profiles 429981696 fails 0 solved 55825 secs 1.2
core 343 m 7 profiles 429981696 fails 0 solved 44984 secs 1.5
core 344 m 7 profiles 429981696 fails 0 solved 38842 secs 1.2
core 345 m 7 profiles 429981696 fails 0 solved 57984 secs 1.8
core 346 m 7 profiles 429981696 fails 0 solved 48362 secs 2.3
core 347 m 7 profiles 429981696 fails 0 solved 54706 secs 2.9
core 348 m 7 profiles 429981696 fails 0 solved 51587 secs 2.4
core 349 m 7 profiles 429981696 fails 0 solved 66081 secs 3.0
core 350 m 7 profiles 429981696 fails 0 solved 70295 secs 3.1
core 351 m 7 profiles 429981696 fails 0 solved 53755 secs 2.9
core 352 m 7 profiles 429981696 fails 0 solved 63549 secs 2.8
core 353 m 7 profiles 429981696 fails 0 solved 51069 secs 1.9
core 354 m 7 profiles 429981696 fails 0 solved 64583 secs 2.2
core 355 m 7 profiles 429981696 fails 0 solved 61411 secs 2.4
core 356 m 7 profiles 429981696 fails 0 solved 58425 secs 2.3
core 357 m 7 profiles 429981696 fails 0 solved 55667 secs 2.3
core 358 m 7 profiles 429981696 fails 0 solved 57059 secs 2.4
core 359 m 7 profiles 429981696 fails 0 solved 58255 secs 2.3
core 360 m 7 profiles 429981696 fails 0 solved 56849 secs 2.6
core 361 m 7 profiles 429981696 fails 0 solved 52345 secs 2.6
core 362 m 7 profiles 429981696 fails 0 solved 55013 secs 2.3
core 363 m 7 profiles 429981696 fails 0 solved 79651 secs 2.4
core 364 m 7 profiles 429981696 fails 0 solved 57313 secs 2.1
core 365 m 7 profiles 429981696 fails 0 solved 68399 secs 2.4
core 366 m 7 profiles 429981696 fails 0 solved 57867 secs 2.7
